Property_ID,Property_Type,Property_Size,Bedrooms,Bathrooms,Location,Furnishing,Age_of_Property,Amenities,Proximity_to_Important_Locations,Date_of_Listing,Historical_Prices,Price,Floor_Level,Property_Status
30,House,103,3,2,Bekasi,Fully,13,Gym,8.72,2021-03-24,"[954082152, 1007086716, 1038889454]",1060091279.9087108,1,New
31,Apartment,228,2,3,Jakarta Pusat,Semi,5,Pool,13.32,2021-06-11,"[2971053042, 3136111544, 3235146646]",4126462558.30227,17,Under Construction
32,House,211,2,1,Bogor,Fully,6,Security,9.11,2022-04-02,"[2174267618, 2295060264, 2367535851]",2415852909.067468,5,New
33,House,228,1,1,Jakarta Selatan,Unfurnished,12,Pool,19.95,2021-11-27,"[2910687823, 3072392703, 3169415630]",3880917097.9432936,5,New
34,Apartment,237,4,3,Tangerang,Unfurnished,27,None,17.25,2022-08-15,"[2817494805, 2974022294, 3067938788]",3130549783.6285686,2,New
35,Apartment,188,3,1,Depok,Unfurnished,12,Pool_Gym,18.35,2022-10-11,"[1710840590, 1805887289, 1862915309]",1900933988.919846,8,Pre-sale
36,House,148,4,1,Tangerang,Fully,7,Gym_Security,16.37,2021-11-04,"[1857720404, 1960927093, 2022851107]",2064133782.5866148,1,Pre-sale
37,House,91,2,1,Jakarta Selatan,Unfurnished,27,Gym,1.92,2021-07-12,"[1099251360, 1160320880, 1196962592]",1465668480.1502128,4,Under Construction
38,House,194,3,3,Jakarta Pusat,Semi,22,Gym_Security,2.17,2021-04-29,"[2615341940, 2760638715, 2847816779]",3632419361.3396997,2,New
39,House,114,4,1,Jakarta Utara,Fully,22,Pool,13.59,2022-12-05,"[1415657525, 1494305165, 1541493749]",1730248085.7548685,4,Pre-sale
40,House,61,2,1,Jakarta Barat,Unfurnished,5,Pool_Gym_Security,18.27,2021-09-25,"[758632214, 800778448, 826066188]",969363384.0219009,2,Pre-sale
41,Apartment,154,4,2,Jakarta Selatan,Unfurnished,23,Gym_Security,12.23,2022-03-10,"[1991261205, 2101886827, 2168262201]",2655014939.550002,5,New
42,House,172,1,2,Depok,Unfurnished,28,None,9.19,2022-07-04,"[2229149533, 2352991174, 2427296158]",2476832814.4086614,3,New
43,Apartment,92,2,3,Jakarta Utara,Semi,22,None,12.84,2022-05-10,"[924812549, 976191024, 1007018109]",1130326448.9438176,11,Pre-sale
44,House,110,4,2,Bogor,Unfurnished,13,None,8.52,2021-09-13,"[1089508777, 1150037042, 1186354001]",1210565307.314684,1,New
45,House,212,1,3,Jakarta Selatan,Unfurnished,15,Gym_Security,13.58,2021-11-12,"[2678691034, 2827507203, 2916796904]",3571588045.2914023,3,New
46,Apartment,78,1,3,Jakarta Selatan,Unfurnished,4,Gym_Security,3.22,2021-03-14,"[916658447, 967583916, 998139197]",1222211262.188487,11,Under Construction
47,Apartment,229,2,3,Jakarta Barat,Unfurnished,21,Pool_Gym,14.72,2021-01-05,"[2768425252, 2922226655, 3014507497]",3537432266.3467402,19,New
48,House,164,1,2,Bekasi,Unfurnished,24,Gym,15.11,2021-06-03,"[1547015076, 1632960358, 1684527527]",1718905639.9852715,1,New
49,Apartment,85,4,2,Tangerang,Fully,8,Gym_Security,7.35,2022-07-05,"[971874242, 1025867256, 1058263064]",1079860269.2628417,7,Under Construction
50,House,31,2,2,Jakarta Timur,Unfurnished,2,Security,8.85,2022-12-12,"[325666876, 343759480, 354615042]",379944688.133054,2,Pre-sale
51,House,164,2,3,Jakarta Utara,Fully,29,Pool_Gym,2.18,2022-06-09,"[1724433085, 1820234923, 1877716026]",2107640437.1393626,1,Under Construction
52,Apartment,198,4,1,Depok,Fully,15,Security,11.59,2022-11-13,"[2576235730, 2719359937, 2805234461]",2862484144.0107884,7,Pre-sale
53,Apartment,217,1,1,Tangerang,Unfurnished,21,Pool,16.98,2021-05-25,"[2830103469, 2987331440, 3081668222]",3144559410.1594667,20,New
54,House,189,1,3,Tangerang,Semi,15,Pool,3.32,2021-12-28,"[1922007959, 2028786179, 2092853111]",2135564398.81107,1,Under Construction
55,House,57,4,3,Bekasi,Semi,7,Pool_Security,13.93,2021-05-31,"[724286752, 764524905, 788667797]",804763057.9879063,1,New
56,Apartment,217,1,2,Tangerang,Semi,26,Pool_Gym_Security,1.87,2021-10-03,"[2347278153, 2477682495, 2555925100]",2608086837.178217,9,Pre-sale
57,Apartment,59,1,1,Bogor,Unfurnished,6,Pool,10.75,2021-11-09,"[616463215, 650711171, 671259945]",684959127.7230111,10,Under Construction
58,Apartment,134,2,2,Jakarta Selatan,Fully,14,Pool,16.77,2021-12-04,"[1240383795, 1309294005, 1350640132]",1653845059.4321167,3,New
59,Apartment,133,1,2,Jakarta Timur,Unfurnished,1,Pool_Gym,1.18,2021-04-24,"[1377173058, 1453682672, 1499588441]",1606701901.180023,15,New
60,House,160,1,2,Tangerang,Semi,10,Pool,18.99,2021-03-01,"[2031919842, 2144804278, 2212534939]",2257688713.349197,1,New
61,House,68,2,2,Bogor,Semi,13,Pool_Gym_Security,18.3,2021-10-28,"[637557875, 672977757, 694229686]",708397638.7923871,5,Under Construction
62,Condo,147,1,2,Bekasi,Semi,9,Pool_Gym,13.84,2021-03-09,"[1600140319, 1689037003, 1742375014]",1777933687.2688053,17,Under Construction
63,Apartment,229,4,3,Bogor,Unfurnished,26,None,14.15,2022-01-11,"[2826334800, 2983353400, 3077564560]",3140372000.018807,16,Pre-sale
64,Apartment,123,2,3,Depok,Fully,4,Pool,12.27,2021-01-15,"[1364309108, 1440104058, 1485581028]",1515899008.475354,10,New
65,Apartment,209,2,1,Jakarta Barat,Unfurnished,19,Pool_Security,12.36,2021-04-20,"[2676921169, 2825639012, 2914869718]",3420510383.0284953,15,New
66,House,82,3,2,Jakarta Selatan,Fully,27,None,15.33,2021-07-17,"[1087085707, 1147479357, 1183715547]",1449447609.0611577,1,New
67,Apartment,154,1,3,Tangerang,Fully,6,None,1.61,2022-07-10,"[1980173334, 2090182964, 2156188742]",2200192593.410847,7,Under Construction
68,House,212,3,3,Jakarta Timur,Fully,8,None,13.47,2021-07-30,"[2456779762, 2593267526, 2675160185]",2866243055.4267063,1,Pre-sale
69,Apartment,92,4,1,Tangerang,Unfurnished,5,None,1.69,2022-10-04,"[1068001021, 1127334411, 1162934445]",1186667801.4713058,15,Under Construction
70,House,167,1,2,Bogor,Fully,28,Pool_Gym_Security,18.89,2021-01-21,"[1609313106, 1698719389, 1752363159]",1788125672.7900646,2,New
71,Condo,152,3,3,Depok,Unfurnished,1,Pool_Gym_Security,5.88,2022-09-10,"[1956166170, 2064842069, 2130047608]",2173517966.9613533,8,New
72,House,51,3,2,Bekasi,Unfurnished,4,Pool_Gym,3.35,2021-09-13,"[551304236, 581932249, 600309057]",612560261.7371526,2,New
73,House,48,1,1,Jakarta Selatan,Semi,19,Gym_Security,4.19,2021-11-01,"[638827134, 674317531, 695611769]",851769512.4990402,1,New
74,House,151,3,3,Jakarta Timur,Unfurnished,25,Pool_Security,11.38,2021-06-06,"[1484396424, 1566862892, 1616342773]",1731795827.7890475,1,Under Construction
75,House,183,1,3,Bekasi,Unfurnished,10,Pool_Security,8.54,2022-05-08,"[1969570546, 2078991131, 2144643483]",2188411717.226733,1,New
76,Apartment,186,4,2,Bogor,Unfurnished,17,None,4.78,2021-02-08,"[2036881818, 2150041919, 2217937980]",2263202020.1034956,10,New
77,Apartment,188,1,3,Bekasi,Semi,16,Gym_Security,13.1,2021-09-06,"[1966344079, 2075585416, 2141130219]",2184826753.9055347,7,Under Construction
78,House,157,4,1,Bekasi,Semi,23,None,17.4,2021-04-29,"[1946901334, 2055062519, 2119959230]",2163223704.1964784,5,Under Construction
79,House,180,1,3,Jakarta Utara,Semi,17,Pool_Security,12.84,2021-02-12,"[2065614781, 2180371158, 2249224984]",2524640287.8531284,1,New
80,Apartment,78,1,1,Depok,Semi,6,Pool_Gym_Security,6.46,2021-03-30,"[909971118, 960525069, 990857440]",1011079020.1455384,7,New
81,Apartment,173,2,1,Jakarta Pusat,Fully,19,Pool_Security,14.39,2022-10-03,"[1574907617, 1662402484, 1714899405]",2187371689.6952543,9,New
82,Apartment,158,4,3,Depok,Semi,28,Pool_Gym_Security,15.75,2021-05-09,"[1743234690, 1840081061, 1898188884]",1936927433.0730302,6,New
83,Apartment,139,4,3,Jakarta Pusat,Semi,15,Pool,10.16,2022-11-04,"[1573763749, 1661195068, 1713653860]",2185782984.2071314,9,New
84,House,55,2,3,Jakarta Pusat,Fully,11,Security,16.59,2022-07-29,"[517446159, 546193168, 563441374]",718675221.452302,4,Under Construction
85,House,35,2,1,Jakarta Timur,Fully,20,Pool,8.79,2022-02-28,"[383497023, 404802413, 417585647]",447413193.0028756,5,Pre-sale
86,Apartment,204,2,3,Tangerang,Fully,7,Gym,3.26,2021-06-13,"[2181071603, 2302242247, 2374944634]",2423412891.9759955,17,New
87,House,92,3,2,Bekasi,Unfurnished,6,Security,16.14,2021-04-14,"[877748800, 926512622, 955770915]",975276443.9096115,2,Pre-sale
88,House,163,4,1,Depok,Semi,4,Pool_Gym_Security,11.0,2022-04-25,"[2149560433, 2268980457, 2340632472]",2388400481.271561,3,New
89,Apartment,43,3,2,Jakarta Pusat,Semi,23,Gym,14.44,2022-08-12,"[392509626, 414315717, 427399371]",545152258.7538843,20,Under Construction
90,Apartment,216,4,1,Jakarta Utara,Semi,12,Pool,4.75,2021-12-19,"[2653220069, 2800621184, 2889061853]",3242824528.6759443,1,New
91,Apartment,146,4,3,Jakarta Barat,Semi,24,Pool_Security,5.11,2022-01-27,"[1955742376, 2064394730, 2129586143]",2499004146.8858232,20,Pre-sale
92,Apartment,249,2,2,Bekasi,Fully,16,Pool_Security,7.71,2021-10-10,"[3160755041, 3336352543, 3441711044]",3511950045.1750655,19,New
93,House,85,1,2,Jakarta Timur,Unfurnished,2,Pool,16.11,2021-07-24,"[1122113608, 1184453252, 1221857039]",1309132542.2222857,4,New
94,House,235,1,3,Bogor,Semi,22,None,7.27,2021-04-07,"[2400224134, 2533569919, 2613577391]",2666915704.623333,2,New
95,House,171,3,1,Jakarta Utara,Unfurnished,22,Pool,8.94,2021-03-17,"[2138432776, 2257234597, 2328515689]",2613640059.3545446,3,New
96,Apartment,221,2,3,Tangerang,Unfurnished,11,Pool_Gym,6.4,2022-09-18,"[2455420284, 2591832522, 2673679865]",2728244759.9649224,2,Pre-sale
97,Apartment,242,1,2,Bekasi,Semi,19,Pool,5.89,2021-08-11,"[2414582624, 2548726103, 2629212190]",2682869581.6681194,19,Under Construction
98,Apartment,210,3,3,Bekasi,Semi,12,None,9.99,2022-08-21,"[2352706293, 2483412198, 2561835741]",2614118103.059055,13,Under Construction
99,House,115,4,3,Bogor,Semi,17,Pool,4.03,2021-10-29,"[1523231149, 1607855102, 1658629473]",1692479054.5702574,1,New
100,Apartment,197,1,1,Depok,Semi,2,Gym,8.34,2021-08-31,"[1958385500, 2067184695, 2132464211]",2175983889.281521,2,New
101,House,230,4,3,Bogor,Fully,22,None,3.53,2022-12-17,"[2902567556, 3063821309, 3160573561]",3225075062.6125574,2,New
102,Apartment,80,3,3,Bogor,Semi,21,Gym,6.9,2022-01-27,"[995733021, 1051051522, 1084242623]",1106370023.170562,9,New
103,Apartment,51,4,1,Tangerang,Fully,18,None,3.16,2021-05-20,"[605461949, 639098724, 659280789]",672735498.7838254,11,New
104,House,152,1,3,Bekasi,Semi,8,Security,14.1,2021-06-13,"[1517585856, 1601896181, 1652482376]",1686206506.6115828,2,Pre-sale
105,House,121,2,1,Jakarta Timur,Unfurnished,18,Pool,19.64,2021-07-25,"[1454766441, 1535586799, 1584079014]",1697227514.8345094,5,New
106,House,183,2,3,Depok,Unfurnished,2,None,19.24,2021-08-18,"[1842243428, 1944590285, 2005998399]",2046937141.7375093,2,New
107,Apartment,97,1,3,Jakarta Timur,Unfurnished,19,Pool,17.63,2022-12-29,"[1260113438, 1330119740, 1372123522]",1470132344.7550378,17,Pre-sale
108,Apartment,166,2,3,Bogor,Unfurnished,13,Pool_Security,1.73,2021-03-16,"[2115836154, 2233382607, 2303910479]",2350929059.885203,1,Pre-sale
109,Condo,200,1,3,Bogor,Unfurnished,23,None,12.15,2022-05-08,"[1830586400, 1932285645, 1993305192]",2033984889.3533957,2,Pre-sale
110,Apartment,117,4,3,Jakarta Pusat,Unfurnished,18,Pool_Gym,6.26,2022-05-06,"[1223472251, 1291442931, 1332225340]",1699267015.1213088,8,New
111,Apartment,156,4,3,Bogor,Fully,9,Gym_Security,14.63,2021-10-20,"[1805469941, 1905773827, 1965956158]",2006077712.7416413,4,Under Construction
112,Apartment,210,4,3,Depok,Unfurnished,26,None,2.54,2021-01-19,"[1979248500, 2089206750, 2155181700]",2199164999.591906,3,New
113,House,139,2,2,Jakarta Timur,Fully,10,Gym,13.2,2021-08-05,"[1361433918, 1437069136, 1482450266]",1588339571.1466496,3,New
114,Apartment,230,4,1,Jakarta Selatan,Semi,24,Gym,9.13,2021-04-24,"[2618755754, 2764242184, 2851534043]",3491674338.2151318,16,New
115,House,95,3,3,Tangerang,Unfurnished,10,Security,9.49,2021-04-10,"[1109583495, 1171227022, 1208213138]",1232870549.48636,5,New
116,Apartment,160,4,2,Jakarta Pusat,Semi,24,None,8.9,2021-01-05,"[1846042328, 1948600235, 2010134979]",2563947677.466241,10,New
117,House,45,3,2,Bekasi,Semi,10,Pool,10.16,2022-02-07,"[517853580, 546623223, 563885009]",575392866.3309346,1,Under Construction
118,House,126,3,1,Bogor,Unfurnished,9,Security,16.17,2022-09-30,"[1424628385, 1503774406, 1551262019]",1582920427.2683861,5,Pre-sale
119,Apartment,125,3,1,Depok,Unfurnished,16,Gym,5.58,2022-09-12,"[1663823040, 1756257654, 1811718422]",1848692267.1933136,7,New
120,House,241,2,1,Depok,Fully,18,None,8.19,2022-06-17,"[2440262423, 2575832558, 2657174639]",2711402692.477461,3,New
121,Apartment,90,2,3,Bekasi,Semi,26,Security,15.64,2021-09-05,"[991114840, 1046176775, 1079213937]",1101238710.7338638,1,New
122,Apartment,177,1,2,Jakarta Barat,Unfurnished,13,Gym_Security,6.78,2021-01-03,"[2202069966, 2324407186, 2397809518]",2813756067.276712,12,New
123,House,82,3,2,Jakarta Pusat,Unfurnished,25,Pool,8.64,2021-05-12,"[906482211, 956842334, 987058408]",1259003070.9854512,2,New
124,House,210,2,2,Jakarta Barat,Unfurnished,22,Gym,13.53,2021-12-31,"[2510512234, 2649985136, 2733668878]",3207876744.047707,1,Pre-sale
125,House,48,2,3,Jakarta Barat,Fully,8,Pool_Gym_Security,16.73,2022-04-15,"[635304142, 670598816, 691775621]",811777514.1554099,2,Under Construction
126,House,179,4,1,Bogor,Unfurnished,17,Pool_Gym,10.16,2022-02-08,"[1760066154, 1857847607, 1916516479]",1955629059.7232096,1,Pre-sale
127,House,142,1,2,Bekasi,Semi,19,Pool,7.66,2022-08-06,"[1468061800, 1549620789, 1598556182]",1631179777.5467927,3,New
128,Apartment,214,2,1,Jakarta Timur,Fully,1,Security,15.65,2022-11-16,"[2515488702, 2655238075, 2739087698]",2934736819.2059197,18,Under Construction
129,Apartment,231,4,1,Depok,Fully,22,None,13.15,2022-03-24,"[2435750059, 2571069507, 2652261176]",2706388954.688914,20,Pre-sale
130,House,73,2,1,Jakarta Utara,Unfurnished,1,Gym,2.97,2021-01-15,"[923619350, 974931537, 1005718848]",1128868094.9194005,4,Pre-sale
131,Condo,212,3,2,Tangerang,Semi,17,Pool_Gym,17.77,2022-07-18,"[2688656331, 2838026128, 2927648005]",2987395923.729924,17,Under Construction
132,House,220,3,1,Bekasi,Unfurnished,15,Gym,3.39,2022-07-16,"[2426118836, 2560903216, 2641773844]",2695687596.051249,1,New
133,House,74,1,2,Jakarta Selatan,Fully,28,Pool_Security,19.77,2022-03-16,"[778787206, 822053162, 848012735]",1038382941.1613681,1,Pre-sale
134,House,42,1,3,Bekasi,Unfurnished,0,Gym,7.99,2022-05-24,"[475865083, 502302032, 518164202]",528738981.3483634,2,New
135,Apartment,195,3,2,Jakarta Timur,Unfurnished,27,Pool_Gym_Security,0.83,2021-09-17,"[1929638162, 2036840282, 2101161555]",2251244522.682467,15,New
136,House,153,4,2,Jakarta Barat,Fully,25,Pool_Gym,6.4,2021-09-01,"[1460756705, 1541909856, 1590601746]",1866522456.9403412,1,New
137,Apartment,216,1,3,Bekasi,Semi,29,None,17.11,2021-11-25,"[1967878085, 2077204645, 2142800581]",2186531205.506983,13,New
138,Apartment,157,2,3,Jakarta Utara,Unfurnished,10,Pool_Gym_Security,19.07,2021-06-29,"[1529574799, 1614551177, 1665537003]",1869480309.745808,13,Under Construction
139,Apartment,35,1,2,Jakarta Timur,Semi,18,Gym,4.49,2022-04-04,"[414503797, 437531785, 451348579]",483587762.8430518,12,New
140,House,187,4,1,Bekasi,Semi,5,Security,5.81,2021-10-08,"[2129998330, 2248331571, 2319331515]",2366664811.52022,1,New
141,House,206,1,2,Tangerang,Fully,17,Pool_Gym_Security,9.11,2021-05-18,"[2261373602, 2387005469, 2462384589]",2512637335.2899575,3,New
142,Apartment,167,2,1,Bekasi,Unfurnished,24,None,4.69,2021-05-12,"[2149551405, 2268970928, 2340622641]",2388390450.1971474,9,New
143,House,147,3,3,Jakarta Pusat,Fully,19,Pool_Gym,17.76,2021-12-27,"[1525186248, 1609918817, 1660758359]",2118314233.4523442,4,Under Construction
144,Apartment,119,4,3,Depok,Unfurnished,26,Pool_Security,4.63,2021-08-25,"[1199316967, 1265945688, 1305922920]",1332574407.9817495,11,New
145,Apartment,191,1,2,Jakarta Pusat,Semi,20,None,15.81,2021-09-05,"[1780861418, 1879798164, 1939160211]",2473418636.345689,4,New
146,Apartment,90,1,2,Jakarta Utara,Unfurnished,3,Pool,7.02,2022-11-25,"[1158917108, 1223301391, 1261931962]",1416454242.593295,7,New
147,Apartment,150,1,1,Tangerang,Semi,28,None,5.65,2021-10-10,"[1574706184, 1662189861, 1714680067]",1749673537.8318458,5,New
148,Apartment,158,2,2,Bekasi,Semi,7,Gym_Security,8.9,2022-01-12,"[1870730292, 1974659752, 2037017429]",2078589212.819402,2,Under Construction
149,Apartment,232,3,3,Jakarta Utara,Unfurnished,10,None,6.05,2021-10-29,"[2894835279, 3055659461, 3152153970]",3538132007.354907,13,New
150,House,167,2,2,Jakarta Barat,Unfurnished,15,Pool_Gym_Security,17.75,2022-03-22,"[1802692092, 1902841652, 1962931389]",2303439894.796265,4,Under Construction
151,Apartment,108,2,2,Jakarta Barat,Fully,25,Pool,11.96,2022-01-26,"[1230083351, 1298421315, 1339424093]",1571773170.3019328,6,New
152,House,195,4,2,Jakarta Pusat,Semi,5,Pool_Gym_Security,12.37,2021-03-29,"[2561311623, 2703606713, 2788983767]",3557377254.4366674,3,New
153,Apartment,61,2,2,Jakarta Selatan,Fully,9,Security,10.75,2021-04-03,"[709431815, 748844693, 772492420]",945909086.0066993,11,Under Construction
154,Apartment,118,3,1,Depok,Semi,5,Pool_Security,16.71,2021-05-29,"[1426606878, 1505862816, 1553416378]",1585118753.1762445,12,Pre-sale
155,Apartment,188,1,2,Jakarta Barat,Unfurnished,17,None,1.33,2022-11-26,"[2182808448, 2304075584, 2376835865]",2789144127.7725363,19,New
156,Apartment,48,3,3,Jakarta Timur,Fully,9,Security,16.98,2021-06-17,"[568411300, 599989705, 618936748]",663146516.0872327,1,New
157,Apartment,71,2,1,Jakarta Timur,Unfurnished,21,Gym,12.31,2022-07-08,"[849359426, 896546060, 924858041]",990919329.9582598,12,New
158,Condo,42,3,1,Bogor,Unfurnished,0,None,12.74,2021-07-21,"[493964904, 521407398, 537872895]",548849892.8709304,18,New
159,House,200,4,2,Tangerang,Semi,21,None,2.35,2021-04-29,"[2673469473, 2821995555, 2911111204]",2970521636.441874,3,New
160,Apartment,105,2,3,Jakarta Timur,Fully,28,Gym_Security,9.93,2021-07-17,"[1233710788, 1302250276, 1343373969]",1439329252.3594916,14,Pre-sale
161,Apartment,192,3,1,Depok,Semi,8,Gym,8.45,2021-01-15,"[2140940231, 2259881355, 2331246029]",2378822478.7535386,14,New
162,House,113,2,2,Jakarta Timur,Unfurnished,15,Pool_Security,4.01,2022-04-17,"[1387914249, 1465020596, 1511284405]",1619233290.862773,2,Pre-sale
163,Apartment,63,1,3,Depok,Unfurnished,2,None,11.7,2021-12-29,"[575357161, 607321448, 626500020]",639285734.8242848,17,Under Construction
164,House,184,3,1,Jakarta Pusat,Semi,10,Pool_Gym_Security,6.83,2022-09-20,"[1944229146, 2052241877, 2117049515]",2700318258.9933443,3,New
165,Apartment,42,3,2,Bogor,Unfurnished,8,Pool_Security,9.0,2022-10-29,"[520848394, 549784416, 567146029]",578720437.5198709,6,New
166,Apartment,90,1,3,Jakarta Pusat,Semi,22,Gym_Security,16.09,2022-07-29,"[987008811, 1041842634, 1074742928]",1370845571.159316,16,Under Construction
167,House,76,4,3,Bekasi,Semi,0,Pool_Gym,4.36,2021-07-21,"[798328496, 842680080, 869291029]",887031662.6779503,3,Under Construction
168,Apartment,153,2,2,Tangerang,Unfurnished,15,Security,12.77,2022-03-02,"[1754570084, 1852046200, 1910531870]",1949522315.9203477,1,New
169,House,82,1,1,Jakarta Pusat,Semi,7,Pool,1.05,2021-04-18,"[750507530, 792202392, 817219310]",1042371569.0731007,1,New
170,House,172,1,1,Bekasi,Semi,29,Security,8.79,2021-04-13,"[1873508981, 1977592813, 2040043112]",2081676645.144179,2,Under Construction
171,Apartment,87,4,1,Jakarta Timur,Semi,1,Gym,5.32,2022-08-18,"[944938217, 997434785, 1028932725]",1102427919.8890533,5,New
172,House,132,2,3,Bekasi,Semi,27,Pool_Gym,3.02,2022-05-22,"[1590980650, 1679368464, 1732401152]",1767756277.9743598,3,New
173,Apartment,172,2,2,Jakarta Pusat,Unfurnished,7,Pool_Gym_Security,4.75,2021-06-25,"[1941904730, 2049788326, 2114518484]",2697089902.758276,10,Pre-sale
174,Apartment,106,3,1,Jakarta Utara,Unfurnished,24,None,11.19,2021-01-29,"[1072892681, 1132497830, 1168260920]",1311313277.2199252,6,Under Construction
175,Apartment,245,4,1,Bogor,Semi,0,Pool_Gym_Security,10.72,2021-04-26,"[2553600603, 2695467303, 2780587323]",2837334003.5622563,11,New
176,Apartment,52,1,1,Jakarta Timur,Unfurnished,24,Pool_Gym_Security,6.03,2021-01-03,"[653273414, 689566381, 711342161]",762152315.8139585,17,New
177,House,53,1,3,Tangerang,Unfurnished,17,Pool,17.47,2021-09-21,"[528375407, 557729596, 575342109]",587083785.1883813,5,Under Construction
178,Condo,152,1,1,Bekasi,Semi,28,Gym,12.8,2021-12-05,"[2037780916, 2150990967, 2218916997]",2264201017.6555524,13,New
179,Apartment,160,3,3,Jakarta Timur,Fully,25,Pool,4.45,2021-12-30,"[1764376290, 1862397195, 1921209738]",2058439004.9733236,3,Pre-sale
180,Apartment,194,4,3,Jakarta Utara,Semi,4,None,17.41,2022-03-04,"[2138754277, 2257573959, 2328865768]",2614033005.4443135,19,New
181,House,114,1,1,Jakarta Barat,Semi,18,Pool,7.72,2022-01-03,"[1354708074, 1429969634, 1475126570]",1731015872.4186807,2,New
